image_name,comment_number,comment
1001773457.jpg,1,كلب أسود و كلب ثلاثي الألوان يلعبان مع بعضهما البعض على الطريق
1001896054.jpg,0,رجل داخل جرار يرتدي سماعات رأس يسير في شارع مرصوف
1001896054.jpg,1,رجل يرتدي زي ذو لون برتقالي و أخضر مصنوع من النيون و يقود جرار أخضر 
100197432.jpg,0,بعض النساء واقفات أمام حافلة و خلفها عدة مباني
100197432.jpg,1,تقف عدة نساء في أحد شوارع المدينة ذات البنايات الشاهقة
100207720.jpg,0,امرأة شابة ذات شعر داكن ترتدي نظارة تضع مسحوق أبيض على كعكة باستخدام منخل
100207720.jpg,1,سيدة ترتدي قميص أسود مع نظارات ترش مسحوق السكر على كعكة على شكل دونات
1002674143.jpg,0,فتاة صغيرة مع جديلتان ترسم بالخارج على العشب
1002674143.jpg,1,فتاة صغيرة مغطاة بالطلاء تجلس أمام رسمة قوس قزح و يداها داخل وعاء
1003163366.jpg,0,رجل نائم على مقعد بالخارج و يجلس بجانبه كلب لونه أبيض و أسود
1003163366.jpg,1,رجل يستلقي على مقعد بينما يجلس كلبه بجانبه
1003420127.jpg,0,مجموعة من البالغين داخل منزل يجلسون على كراسي مرتبة في شكل دائري يعزفون على نوع من الآلات الموسيقية
1003420127.jpg,1,خمسة موسيقيين رجل و أربع نساء يتدربون على النوتة الموسيقية باستخدام آلة المزمار في غرفة المعيشة
1003428081.jpg,0,تقوم مجموعة من النساء المسنات بالعزف على المزمار معا أثناء قراءتهن للنوتة الموسيقية
1003428081.jpg,1,مجموعة من أربع نساء يعزفن الموسيقى على آلاتهن
100444898.jpg,0,يقف شخص يرتدي ملابس رمادية بمفرده على مبنى في الخارج في الظلام
100444898.jpg,1,رجل يرتدي سترة و بنطلون جينز واقف على جسر
1005216151.jpg,0,رجل يرتدي قميص أبيض ينظر إلى الكاميرا محاط بحشد من الناس بالقرب من محطة القطار
1005216151.jpg,1,حشد كبير من الناس واقفون في الخارج أمام مدخل محطة القطار
100577935.jpg,0,رجل يرتدي قميص أسود يمنح وشم لرجل آخر 
100577935.jpg,1,رجل يضع وشم على ظهر رجل آخر
1006452823.jpg,0,اثنان من الأطفال يلعبان على أرجوحة
1006452823.jpg,1,طفلان يجلسان على أرجوحة صغيرة في الرمال
100652400.jpg,0,رجل يرتدي سترة عاكسة و قبعة صلبة و يحمل علم على الطريق
100652400.jpg,1,يقف رجل يرتدي قبعة صلبة و سترة تحذير في الشارع و يلوح بعلم برتقالي
1007129816.jpg,0,رجل ذو أذنين مثقوبة يرتدي نظارة و قبعة برتقالية
1007129816.jpg,1,رجل يرتدي قبعة برتقالية و نظارات
100716317.jpg,0,شخص ذو شعر رمادي يرسم في مكان عام محاط بأشخاص آخرين يرسمون أيضا لوحات أخرى
100716317.jpg,1,سيدة ترتدي معطف أزرق مع قبعة ذات لونين أبيض و بني واقفة أمام لوحة
1007205537.jpg,0,رجل يرتدي سروال أخضر يسير على الطريق و من خلفه مبنى
1007205537.jpg,1,رجل يرتدي سروال أخضر و قميص أزرق يدفع عربة
1007320043.jpg,0,طفلة تلعب على شبكة مصنوعة من الحبال
1007320043.jpg,1,فتاة صغيرة ترتدي ملابس باللون الوردي و البرتقالي تتسلق جسر من الحبال في الحديقة
100759042.jpg,0,شاب يرتدي سترة و يمسك عود أسنان عليه شيئا ما في نهايته
100759042.jpg,1,شاب مسافر على متن حافلة و في يديه جزء من زهرة
10082347.jpg,0,رجل شاب أشقر يرتدي سترة زرقاء و صفراء يبتسم بينما يقف أمام شبكة
10082347.jpg,1,شاب يرتدي سترة باللونين الأسود و الأصفر يحدق في شيئا ما و يبتسم
10082348.jpg,0,رجل يرتدي قبعة بيسبول و سترة سوداء يقف في الحمام و يمسك بكوب قهوة
10082348.jpg,1,رجل يحمل فنجان قهوة أثناء وجوده في الحمام
100845130.jpg,0,مجموعة أشخاص يمشون مع غروب الشمس
100845130.jpg,1,أربعة أشخاص يمشون خلال غروب الشمس مع سماء زرقاء صافية
10090841.jpg,0,رجل ذو شعر أسود يجلس في مطعم و يحتسي كأس من البيرة
10090841.jpg,1,رجل جالس على طاولة مع مشروب
1009434119.jpg,0,كلب ذو لون أبيض و أسود يركض في حديقة عشبية محاطة بسياج أبيض
1009434119.jpg,1,كلب ذو لون أبيض و أسود يجري بين العشب 
1009692167.jpg,0,يقف ضابط يرتدي سترة عاكسة عند مقدمة شاحنته مع كلبه
1009692167.jpg,1,كلب بوليسي مدرب يجلس بجانب مدربه أمام سيارة الشرطة
101001624.jpg,0,شخص يركب دراجة على طريق ثلجي
101001624.jpg,1,صبي صغير يركب دراجة على طريق مغطى بالثلوج
1010031975.jpg,0,خمسة رجال يرتدون ملابس موحدة قمصان بيضاء و ربطة عنق و بنطلون أسود يتحدثون بجانب شاحنة مكشوفة
1010031975.jpg,1,يقف خمسة رجال يرتدون قمصان بيضاء قصيرة الأكمام و ربطات عنق في موقف للسيارات
1010087179.jpg,0,رجل أسمر يرتدي قبعة بشكل معكوس ينظر إلى الكاميرا أثناء سيره في أحد المصانع
1010087179.jpg,1,يوجد رجل يرتدي قميص أبيض و قبعة سوداء واقف بين العديد من الأجهزة 
1010087623.jpg,0,مدير مستودع يقوم بمساعدة موظفة
1010087623.jpg,1,امرأة ذات بشرة سوداء و رجل ذو بشرة بيضاء يعملان في مصنع يضعان برطمانات الشموع في صناديق
10101477.jpg,0,رجل آسيوي يرتدي قميص أبيض و بنطلون أزرق يستخدم مكنسة لإزالة أوساخ الرصيف
10101477.jpg,1,رجل يرتدي كيمونو أبيض و أزرق يستخدم مكنسة لكنس الرصيف 
1010470346.jpg,0,رجل على دراجة يراقب صف من السيارات في انتظار المرور عبر نقطة تفتيش
1010470346.jpg,1,رجل يميل إلى السيارة للتحدث مع السائق بينما ينظر إليه رجل على دراجة
1010673430.jpg,0,فتاة صغيرة ترتدي قميص وردي و فتاة صغيرة أخرى ترتدي قميص برتقالي تجلسان على العشب
1010673430.jpg,1,طفلتان صغيرتان تتناولان وجبة خفيفة و تلعبان على العشب
101093029.jpg,0,يوجد شخص يرتدي سروال بني اللون داخل جسم متحرك فضي بينما يشاهده الناس
101093029.jpg,1,يراقب الناس شخص داخل سيارة غريبة في أحد الساحات
101093045.jpg,0,شخص يقود سيارة ذات مظهر عصري بينما يقترب منها رجل و يشاهدها حشد من الناس
101093045.jpg,1,رجل يسير بجانب مركبة فضية
1011572216.jpg,0,عريس و عروس واقفان و ممسكان بذراعهما
1011572216.jpg,1,عريس و عروس واقفان بجانب بعضهما البعض
1012150929.jpg,0,ولد صغير يلعب لعبة غيم كيوب في مطعم ماكدونالدز
1012150929.jpg,1,صبي يلعب لعبة فيديو في مطعم ماكدونالدز
1012212859.jpg,0,كلب أبيض ذو أذنين بنيتين يقف بالقرب من الماء و رأسه منحني إلى جانب واحد
1012212859.jpg,1,كلب مع كرة برتقالية عند قدميه يقف على الشاطئ و ينفض عنه الماء
1012328893.jpg,0,مجموعة أشخاص يقيمون حفلة شواء في حديقة
1012328893.jpg,1,مجموعة من الناس يستمتعون بيوم جميل في الحديقة
101262930.jpg,0,زوجان آسيويان يجلسان على مقعد
101262930.jpg,1,رجل يرتدي نظارة شمسية يضع ذراعه حول امرأة ترتدي بلوزة سوداء و بيضاء
1013536888.jpg,0,شخص ذو شعر رمادي يرتدي نظارة يستمتع بتناول الساندويتش 
1013536888.jpg,1,امرأة مسنة تأكل برجر بينما يلمس الرجل الذي بجانبها قبعته
101362133.jpg,0,فتاة تركل لوح يحملها رجل في صف التايكوندو
101362133.jpg,1,فتاة توشك على ركل قطعة من الخشب يحملها مدرب الكاراتيه لكسرها إلى نصفين
101362650.jpg,0,يقوم شخصان باستعراض فنون الدفاع عن النفس أمام حشد من الناس والقفز فوق ثلاثة شبان جاثمين على حصيرة
101362650.jpg,1,صبي يقفز من فوق ثلاثة أطفال ليركل الخشب خلال مسابقة تايكوندو
1014609273.jpg,0,صبي يرتدي سترة حمراء يسكب الماء على رجل يرتدي قميص أبيض
1014609273.jpg,1,طفل يرتدي قميص أحمر من النوع الثقيل يمد يده ليمنح رجل يرتدي قميص أبيض شيئا ما
101471792.jpg,0,رجل يرتدي سترة حمراء يحمي نفسه من الشمس و هو يحاول قراءة قطعة من الورق
101471792.jpg,1,رجل يرتدي معطف أحمر في الخارج يضع يده على رأسه لحجب ضوء الشمس
1014785440.jpg,0,رجلان يحملان طفلين على ظهريهما في الشارع في يوم مشمس في حي جميل
1014785440.jpg,1,يسير رجلان كل منهما يحمل طفل صغير على ظهره على طريق معبدة
1015118661.jpg,0,صبي مبتسم يرتدي قميص أبيض و بنطلون جينز أزرق أمام جدار صخري مع رجل يرتدي ثياب العمل خلفه
1015118661.jpg,1,طفل صغير يقف في الشارع بينما يعمل رجل يرتدي ثياب العمل على حائط حجري
1015584366.jpg,0,كلب أسود و رمادي مرقط يرتدي ياقة زرقاء يقفز من فوق شجرة ساقطة
1015584366.jpg,1,يقفز كلب رمادي من فوق شجرة ساقطة
101559400.jpg,0,رجال يرتدون بدلات عمل يعبرون الشارع مع أشخاص يحملون لافتات يتجمعون في الشارع
101559400.jpg,1,يركض رجل يرتدي بذلة عبر تقاطع بينما يوجد تجمع لمجموعة كبيرة من الأشخاص أيضا
1015712668.jpg,0,رجل يرتدي قميص أحمر بأكمام طويلة يركب دراجة على جسر موجود فوق مسطح مائي
1015712668.jpg,1,رجل يركب دراجته يعبر جسر موجود فوق النهر
10160966.jpg,0,رجل حافي القدمين يرتدي سروال أخضر زيتوني يشوي النقانق على شواية غاز صغيرة بينما يحمل كوب بلاستيكي أزرق
10160966.jpg,1,رجل يرتدي سروال قصير و قميص أبيض يجلس على الأرض أمام شواية عليها نقانق
101654506.jpg,0,يركض كلب أبيض و بني فوق سطح الثلج
101654506.jpg,1,كلب لونه أبيض و بني يجري في حقل مغطى بالثلج
1016626169.jpg,0,حشد من الناس في انتظار عبور الشارع
1016626169.jpg,1,حشد من الناس واقفون و ينتظرون الضوء الأخضر
101669240.jpg,0,شخص يرتدي زلاجات و ينظر إلى لوحات ذات إطار مثبتة في الثلج
101669240.jpg,1,متزلج ينظر إلى صور ذات إطار موضوعه على الثلج بجوار الأشجار
1016887272.jpg,0,يتسلق عدة متسلقين بشكل متتالي الصخرة في حين يراقبهم رجل ذو رداء أحمر هو يمسك الحبل
1016887272.jpg,1,سبعة متسلقين يصعدون على سطح صخرة بينما يقف رجل آخر بالأسفل ممسك بالحبل
1017675163.jpg,0,شابة لاعبة جمباز تقفز للأعلى في الهواء أثناء أدائها على عارضة التوازن
1017675163.jpg,1,امرأة ترتدي ثوب برتقالي تمارس الجمباز أمام الجمهور
1018057225.jpg,0,صبي يرتدي قميص أسود و بنطلون جينز أزرق يدفع لعبة ذات ثلاث عجلات حول حوض سباحة صغير
1018057225.jpg,1,صبي صغير يدفع لعبة دراجة رباعية حول حوض سباحة مطاطي
1018148011.jpg,0,مجموعة أشخاص يقفون في صندوق شاحنة مليئة بالقطن
1018148011.jpg,1,يقوم مجموعة رجال بتحميل القطن على شاحنة
101859883.jpg,0,امرأة ترتدي حجاب تستخدم التلسكوب لتطل على المدينة والخليج
101859883.jpg,1,امرأة داخل مبنى ترتدي حجاب و تنظر من نافذة عبر تلسكوب مثبت
10188041.jpg,0,رجل يرتدي معطف أسود يتفحص مقدمة طائرة 
10188041.jpg,1,يقف رجل أمام جسم صغير أحمر يشبه طائرة
1019077836.jpg,0,كلب بني يركض على العشب بالقرب من خرطوم مياه في الحديقة
1019077836.jpg,1,كلب بني يطارد الماء الذي يتدفق من المرشات على العشب
101958970.jpg,0,رجل يجلس على عربة وردية مع طفلة صغيرة في محل البقالة
101958970.jpg,1,رجل مع ابنته يجلسان على عربة أطفال في سوبر ماركت
1019604187.jpg,0,كلب أبيض يجري خلف كرة صفراء
1019604187.jpg,1,كلب أبيض جاهز للإمساك بكرة صفراء تطير في الهواء
102030371.jpg,0,رجل يرتدي قميص أخضر و سترة داكنة اللون يجلس على طاولة و أمامه كوب من الماء
102030371.jpg,1,شاب يرتدي قميص أخضر و يده تغطي جزء من وجهه في كشك المطعم
1020651753.jpg,0,يقفز كلب ليلتقط كرة في أحد الحقول
1020651753.jpg,1,يلعب كلب أبيض في حقل أخضر بلعبة صفراء
1021293940.jpg,0,يتنزه رجلان في غابة حيث يغطي الثلج الأرض بشكل جزئي
1021293940.jpg,1,اثنان من المتنزهين يستريحان بجوار بقعة من الثلج
1021332107.jpg,0,رجل مسن ذو لحية و نظارات يقف في غرفة معيشته و يمسك بخزانة صغيرة ذات أبواب زجاجية
1021332107.jpg,1,رجل كبير في السن يرتدي قميص رمادي تحته قميص أبيض طويل الأكمام يحمل خزانة خشبية صغيرة
1021439420.jpg,0,رجلان يجلسان على الأرض و رجل يرتدي سترة خضراء يقرأ قطعة من الورق
1021439420.jpg,1,رجلان يجلسان على أرضية غرفة المعيشة
1021442086.jpg,0,رجل ملتحي يرتدي نظارة و قميص أحمر و قبعة يقرأ خريطة أثناء جلوسه في سيارة
1021442086.jpg,1,مسافر ملتحي يرتدي قميص أحمر يجلس في سيارة و يقرأ خريطة
1022454332.jpg,0,بحيرة كبيرة داخلها بطة وحيدة تسبح و من حول حافتها عدة أشخاص
1022454332.jpg,1,صبي صغير يلوح بيده إلى بطة موجوده داخل الماء و محاط بحديقة خضراء
1022454428.jpg,0,زوجان و رضيع يمسكه الرجل يجلسان بجوار بركة مع عربة أطفال قريبة منهم
1022454428.jpg,1,زوجان يجلسان على العشب مع طفل و عربة أطفال
102268204.jpg,0,ثلاثة رجال واقفون في الليل بالقرب من سيارة سوداء بجانب مأوى مليء بالدراجات
102268204.jpg,1,عدة رجال واقفون أمام بناية مجاورة لسيارة متوقفة
1022975728.jpg,0,كلب أسود تظهر عليه علامات المرح في الماء
1022975728.jpg,1, كلب أسود يركض في الماء
102351840.jpg,0,رجل يحفر بركة في الجليد المتجمد
102351840.jpg,1,رجل يحفر ثقب في الجليد
1024138940.jpg,0,يلعب اثنان من الكلاب الحمراء الكبيرة على طول شاطئ  رملي
1024138940.jpg,1,كلبان يلعبان على الرمال على الشاطئ
102455176.jpg,0,متسلق جليد يرتدي سترة زرقاء و بنطلون أسود يتسلق جدار جليدي متجمد
102455176.jpg,1,متسلق جليد يتسلق شلال متجمد
1024613706.jpg,0,شابان و شابة يسيران في حقل بالقرب من الماء
1024613706.jpg,1,رجلان و امرأة يمشيان في حقل
102520526.jpg,0,رجل يجرف الثلج عن الطرقات والأرصفة في إحدى المدن
102520526.jpg,1,رجل يرتدي سترة سوداء و قبعة ثلجية رمادية يجرف الثلج بالقرب من شارع به سيارات
102575576.jpg,0,يقف زوجان يرتديان زي زفافهما خلف طاولة بها كعكة الزفاف و زهور
102575576.jpg,1,عروس و يشاهد يقفان أمام كعكة زفافهما في حفل الاستقبال
102617084.jpg,0,يتجمع مجموعة من راكبي عربات الثلج في الثلج
102617084.jpg,1,يقف خمسة أشخاص يرتدون سترات و خوذات شتوية على الثلج و في الخلف توجد عربات الثلج
1026685415.jpg,0,كلب أسود يحمل لعبة خضراء في فمه و هو يمشي بين العشب
1026685415.jpg,1,كلب أسود مبلل يحمل لعبة خضراء يمشي عبر العشب
1026792563.jpg,0,مجموعة من النساء و الأطفال منهم الواقف و منهم الجالس أمام صفوف من الخضراوات
1026792563.jpg,1,مجموعة من النساء يحاولن بيع محصولهن من الخضار
1027149103.jpg,0,فرقة تعزف أمام الجمهور والمغني يرتدي قميص برتقالي و لديه وشم على ذراعه
1027149103.jpg,1,في حفل موسيقي مزدحم يقترب رجل يرتدي ملابس بيضاء من المغني الرئيسي الذي يرتدي قميص أصفر
1027211271.jpg,0,صبي يقفز على لوح التزلج الخاص به بينما يشاهده حشد من الناس
1027211271.jpg,1,شخص يتزلج على ألواح التزلج في حديقة تزلج
1028205764.jpg,0,رجل و فتى صغير يرتديان سترات نجاة زرقاء يجدفان داخل زورق أصفر
1028205764.jpg,1,رجل و طفل داخل قارب كاياك أصفر فوق الماء
102851549.jpg,0,طفل صغير ينظر إلى الكاميرا و امرأة من خلفه تضحك بشدة و امرأة على اليمين بابتسامة كبيرة على وجهها
102851549.jpg,1,امرأتان و صبي يجلسون في الشرفة في حين أن السيدتان تضحكان بشدة
102860573.jpg,0,عمال بناء يقومون بتركيب عمود إنارة
102860573.jpg,1,يوجد رجلان يرتديان قبعات صلبة صفراء في منطقة بناء
10287332.jpg,0,رجلان يجلسان على سطح منزل بينما يقف رجل آخر على سلم
10287332.jpg,1,رجلان على سطح أحد المنازل بينما يقف رجل آخر فوق سلم يراقبهما
1028982826.jpg,0,رجلان يجلسان على مقعد أمام لافتة عليها صورة رجل و امرأة
1028982826.jpg,1,رجلان يجلسان على مقعد يتحدثان مع وجود لوحة إعلانات للنظارات من خلفهم
1029450589.jpg,0,شخص بالغ يرتدي قميص رمادي بأكمام حمراء ينام على أريكة
1029450589.jpg,1,رجل ذو شعر طويل ينام على أريكة
1029737941.jpg,0,صبي يرتدي قميص بني اللون و سماعات رأس يجلس على أكتاف امرأة وسط حشد من الناس
1029737941.jpg,1,طفل يرتدي سماعات رأس يجلس على أكتاف والدته أثناء وجوده بين حشد من الناس
102998070.jpg,0,شاب يرتدي سترة زرقاء ينظف السمك بينما ينظر ثلاثة رجال آخرون أحدهم يدخن سيجارة أو عود ثقاب في فمه
102998070.jpg,1,يحدق ثلاثة رجال كبار في السن في مقلاة بائع متجول يقوم بطهي السمك
1030041880.jpg,0,امرأة ترتدي قميص أبيض بدون أكمام و تنورة خضراء فضفاضه تغني أغنية على خشبة المسرح
1030041880.jpg,1,امرأة ذات شعر أحمر ترتدي قميص أبيض و تنورة لونها أخضر و أبيض تغني في ميكروفون
103031977.jpg,0,عدة طلاب يجلسون على السلالم في إحدى المدارس
103031977.jpg,1,شابان و فتاتان جالسون على الدرج خارج مبنى
1030985833.jpg,0,كلب أسود و كلب بني يقفزان لالتقاط لعبة حمراء
1030985833.jpg,1,كلب أسود و كلب بني يلعبان بلعبة حمراء في فناء المنزل
103106960.jpg,0,شاب راكع أمام مرمى الهوكي و عصا الهوكي في يده اليمنى
103106960.jpg,1,طفل يرتدي سترة حمراء يلعب هوكي الشوارع ويحرس المرمى
103195344.jpg,0,رجل جالس يقرأ جريدة بجوار تمثال خارج مبنى إداري
103195344.jpg,1,رجل يجلس بالقرب من تمثال كبير
1031973097.jpg,0,طفل صغير يرتدي قميص أزرق و سروال قصير و قبعة حمراء يطل من خلف منطقة مسيجة في فناء من الطوب
1031973097.jpg,1,طفل صغير يرتدي قميص أزرق و قبعة حمراء يمسك بقضبان سوداء أمامه
103205630.jpg,0,رجلان يقفان على جليد و ينظران إلى شيء مغطى بقماش أزرق
103205630.jpg,1,رجلان ينشئان كوخ أزرق لصيد أسماك الجليد فوق بحيرة متجمدة
1032122270.jpg,0,امرأة تنحني بالقرب من ثلاثة كلاب في أحد الحقول
1032122270.jpg,1,تقف ثلاثة كلاب في حقل عشبي بينما يجثو شخص بالقرب منها
1032460886.jpg,0,رجل واقف أمام ناطحة سحاب
1032460886.jpg,1,يقف رجل يرتدي قميص أحمر و من خلفه ناطحة سحاب كبيرة
103306033.jpg,0,امرأة ترتدي فستان بني و عمامة لها نفس شكل الفستان تدفع طفل صغير في عربة الأطفال في الحديقة
103306033.jpg,1,امرأة ترتدي زي أفريقي لونه بني تدفع طفل صغير في عربة أطفال
103328091.jpg,0,رجل آسيوي يرتدي قميص أحمر يجلس بجوار محل بقالة يبيع الفاكهة
103328091.jpg,1,رجل يرتدي قميص أحمر يجلس بجانب فاكهة معروضة للبيع
1033767085.jpg,0,طفلان يأكلان على طاولة صغيرة
1033767085.jpg,1,فتى صغير أشقر و فتاة ذات شعر داكن يأكلان على مائدة أطفال
1034276567.jpg,0,صبي صغير يضع شيئا في فمه بكلتا يديه
1034276567.jpg,1,طفل يأكل البيتزا على طبق من القصدير
1034985636.jpg,0,رجل يعزف على الجيتار في حفل موسيقي
1034985636.jpg,1,رجل يرتدي ملابس سوداء يعزف على الجيتار الكهربائي في حفلة موسيقية
1035019794.jpg,0,شخص يرتدي زي أخضر و خوذة يتأرجح بمضرب البيسبول في مواجهة كرة تنس أمام السياج
1035019794.jpg,1,فتاة صغيرة تلعب لعبة البيسبول وتضرب الكرة
10350842.jpg,0,يجلس رجل يرتدي قميص أخضر و سترة نجاة حمراء في زورق يتجول حول البحيرة
10350842.jpg,1,رجل أصلع يرتدي سترة نجاة حمراء جالس في قارب صغير
1035392784.jpg,0,رجل شعره طويل يرتدي ملابس سوداء يعزف على جيتار عليه ملصقات
1035392784.jpg,1,رجل يرتدي قميص أسود يعزف على جيتار لونه أسود
103625356.jpg,0,رجل يرتدي قميص أسود و قبعة بيسبول يقوم بأعمال البناء
103625356.jpg,1,رجل ينحني يعمل على تنعيم الأسمنت في فتحة الرصيف
103631543.jpg,0,امرأة شابة تجلس على مائدة عشاء مع اثنين من المقبلات وكحول
103631543.jpg,1,امرأة ترتدي قميص أبيض تجلس على طاولة في مطعم جميل
1039360778.jpg,0,امرأة ترتدي قميص أزرق و نظارة شمسية مستلقية على بطانية حمراء في حقل عشبي و بجانبها دراجة
1039360778.jpg,1,امرأة مع دراجتها تسترخي على بطانية حمراء في حقل من العشب الأخضر و الأشجار
103953336.jpg,0,يقف شخص على جسر طويل مع سماء زرقاء غائمة في الخلفية
103953336.jpg,1,رجل يقف على جسر في الليل
1039637574.jpg,0,رجل يصور امرأة ترتدي فستان وردي و مجموعة رجال يرتدون بدلات
1039637574.jpg,1,رجل يلتقط صورة لمجموعة من المراهقين الذين يرتدون ملابس أنيقة
10404007.jpg,0,فتى صغير ذو بشرة بيضاء يقف على مساحة عشبية بتعبير حزين على وجهه
10404007.jpg,1,طفل رضيع يقف على حقل من العشب و يبكي
1040426962.jpg,0,رجل مع كلب يشوي الفاصوليا الخضراء
1040426962.jpg,1,رجل مع كلبه يشوي الفاصوليا الخضراء على الشواية
104136873.jpg,0,ثلاثة أشخاص على قمة تل يطل على وادي أخضر
104136873.jpg,1,يتسكع ثلاثة أشخاص على قمة تل كبير
104180524.jpg,0,أشخاص يمشون على جسر لونه أبيض و أحمر فوق بركة
104180524.jpg,1,يعبر الكثير من الناس جسر طويل جدا للمشاة مع وجود تل مغطى بالأشجار في الخلفية
1042020065.jpg,0,صبي صغير يطل على مجموعة من القوارب المطاطية
1042020065.jpg,1,صبي ينظر من فوق درابزين إلى العديد من القوارب والطوافات موجودة بالأسفل في الماء
1042359076.jpg,0,رجل كبير في السن يحمل شيئا ما و ينظر إلى فتاتين صغيرتين تجلسان أمامه على طاولة بالخارج
1042359076.jpg,1,فتاتان صغيرتان و رجل عجوز يتحدثون
1042590306.jpg,0,رجل و امرأة يقفان أمام الكاميرا بينما ينظر إليهم رجل آخر
1042590306.jpg,1,رجل يرتدي قميص أزرق يعض يد فتاة ترتدي سترة سوداء مخططة بينما يشاهدهما رجل آخر
104285082.jpg,0,رجل يعزف على آلة موسيقية
104285082.jpg,1,رجل مسن بشعر رمادي يجلس على كرسي يعزف على آلة كبيرة مصنوعة من الخيزران
1043819504.jpg,0,مجموعة من الناس يقفون أمام كوخ الإسكيمو
1043819504.jpg,1,يقف مجموعة أشخاص يرتدون أحذية للثلج و ملابس شتوية للمشي أمام مبنى يبدو و كأنه مصنوع من كتل الجليد
1043910339.jpg,0,يقفز لاعب بيسبول يرتدي ملابس حمراء في الهواء لتجنب لاعب يرتدي ملابس زرقاء
1043910339.jpg,1,رجلان أحدهم يرتدي قميص أحمر و الآخر يرتدي قميص أزرق يلعبان البيسبول
1044434135.jpg,0,رجل يرتدي قميص أبيض يركب دراجة في شارع مزدحم
1044434135.jpg,1,شارع مزدحم في مدينة آسيوية حيث يركب بعض الناس الدراجات و البعض الآخر يمشون
1044764620.jpg,0,رجل واقف على سلم يقوم بطلاء جدار من الطوب في مستودع
1044764620.jpg,1,رجل يطلي قطعة من الخشب
1044798682.jpg,0,رجل يرتدي قبعة و قميص أبيض يقوم بتنظيف النوافذ
1044798682.jpg,1,رجل يرتدي قميص أبيض يقف في الأعلى على سقالة
1045124251.jpg,0,رجل أشقر في قطار يرتدي نظارة و قميص بدون أكمام يجلس بجانب رجل آخر يرتدي نظارات و سماعات
1045124251.jpg,1,رجل أشقر يرتدي نظارة يجلس في القطار و ينظر إلى شيئا ما
1045309098.jpg,0,امرأتان تمشيان على ممر المشاة و من خلفهم حافلة
1045309098.jpg,1,امرأة تعبر الشارع على ممر المشاة و في يديها العديد من الحقائب
1045521051.jpg,0,شاب يجلس على الأرض بجوار التلفزيون و يضع أمامه وجبة طعام سريعة
1045521051.jpg,1,شخص جالس على الأرض و يأكل أمام التلفاز
10459869.jpg,0,مجموعة من الناس يأكلون النودلز
10459869.jpg,1,مجموعة أشخاص يتناولون الطعام الصيني في أحد المطاعم
104669470.jpg,0,امرأة مزينة بالورود في شعرها توازن وعاء كبير من الفواكه المتنوعة على رأسها
104669470.jpg,1,امرأة سمراء تحمل وعاء كبير من الأناناس والموز والبابايا على رأسها
104700891.jpg,0,يقف رجل يرتدي سترة رمادية و بنطلون عمل أزرق داخل حفرة في الأرض
104700891.jpg,1,رجل يرتدي قبعة زرقاء يقف داخل حفرة عميقة بالقرب من مجرفة
104763189.jpg,0,أربعة أطفال يبتسمون و يلعبون على دراجة
